Title,Sealers,Seal B,Trawlers,Cod B,Whiting B,Shrimp C,T bottom,dummy
Weight,0,1,0,1,1,1,1,1
Pool code,1,2,2,3,4,7,5,4
Pool code 2,,,,,,,,
Type,3,0,3,0,0,6,2,2
1970,1,1,1,10,1,0.3,17.1,1
1971,1,,1.05,,,,17,1
1972,1,,1.103,,,,16.9,1
1973,0.75,,1.158,,,,16.7,1
1974,0.5,,1.216,,,,17,1
1975,0.25,0.8,1.276,,,,16.6,1
1976,0,,1.34,,,,16.4,1
1977,0,,1.407,,,,16.2,1
1978,0,,1.477,6,0.8,,16.3,1
1979,0,,1.551,,,,16.1,1
1980,0,1,1.629,,,,16.3,1
1981,0,,1.71,,,,16.4,1
1982,0,,1.796,,,,16.1,1
1983,0,,1.886,,,,16,1
1984,0,,1.98,,,,16.2,1
1985,0,,2.079,,,,16.5,1
1986,0,,2.183,,,,16.6,1
1987,0,,2.292,,,,16.6,1
1988,0,,2.407,,,,16.8,1
1989,0,,2.527,4,0.7,,17,1
1990,0,,2.577,,,,17.2,1
1991,0,,2.629,,,,17.6,1
1992,0,2,2.682,,,,17.8,1
1993,0,,2.735,,,,18,1
1994,0,,2.79,,,,18.2,1
1995,0,,2.846,,,,18.6,1
1996,0,,2.903,,,,18.7,1
1997,0,,2.961,2,0.6,,18.6,1
1998,0,,3.02,,,,18,1
1999,0,,3.08,,,,18.9,1
2000,0,,3.142,,,,19,1
2001,0,,3.205,,,,19.2,1
2002,0,3,3.269,,,,19,1
2003,0,,3.334,,,,19.3,1
2004,0,,3.401,,,,19.2,1
2005,0,,3.469,1,0.4,2,19,1
2006,0,,3.5,,,,18.6,1
2007,0,,3.5,,,,18.5,1
2008,0,,3.55,,,,18.7,1
2009,0,,3.6,,,,18.6,1
2010,0,4,3.65,,,2.4,18,1
