"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,0.08013228,0.060641337,3.020376,1.7908946,1.1970882,6.924253,0.79665536,31.736582,11.537379,12.822757,8.63573
2,0.08025571,0.060356043,3.0392237,1.7801739,1.1850808,6.6795135,0.78605974,30.05048,8.428455,11.51633,7.1849604
3,0.080387495,0.060047336,3.0587354,1.7720349,1.168597,6.2767,0.7690464,27.586868,6.3876667,12.823107,6.18137
4,0.080552824,0.05971282,3.0806491,1.7736547,1.1546845,5.7000923,0.74525666,24.751028,5.388767,15.568091,5.750276
5,0.080762535,0.05934188,3.103686,1.7898982,1.149551,4.955372,0.712739,22.038502,5.1591077,18.14451,5.75758
6,0.08094459,0.0589228,3.12115,1.8025633,1.1400076,4.3440704,0.6701077,19.874039,5.390659,19.583862,5.9734817
7,0.08110194,0.058452155,3.1311126,1.8082049,1.1260897,3.8541682,0.6182904,18.449331,5.80218,19.937153,6.2217474
8,0.0812385,0.05793321,3.1331635,1.8047113,1.1078137,3.4655871,0.56008464,17.71973,6.1933746,19.685698,6.4146423
9,0.081358366,0.05737401,3.1277468,1.79091,1.0851502,3.1560884,0.49905467,17.524979,6.4744463,19.26115,6.533467
10,0.081465565,0.056786165,3.1155443,1.7661601,1.0581405,2.9063816,0.43878624,17.69595,6.6445503,18.902508,6.5962358
11,0.08156017,0.056183357,3.097083,1.7292362,1.0260698,2.7177336,0.3823081,18.09884,6.7437696,18.686153,6.630486
12,0.08164245,0.055579472,3.0729613,1.678955,0.98810774,2.5939085,0.3316725,18.638746,6.8146553,18.596645,6.65808
13,0.081715554,0.054986462,3.0424333,1.6139183,0.9439099,2.5293474,0.28781205,19.248264,6.885361,18.586288,6.6907673
14,0.08177646,0.054412726,3.0084677,1.535968,0.8977561,2.5153775,0.25079578,19.882116,6.968355,18.60976,6.7318196
15,0.08182082,0.05386283,2.9724708,1.4475441,0.85335565,2.5424063,0.22005163,20.50529,7.0655813,18.638756,6.779997
16,0.081842676,0.053336542,2.9352632,1.3623407,0.8111238,2.601615,0.19471319,21.09197,7.17446,18.661339,6.832728
17,0.081838034,0.052833498,2.8979602,1.2841576,0.7713426,2.6853788,0.17384471,21.624237,7.291849,18.676334,6.8881106
18,0.0818035,0.052352723,2.861781,1.2128658,0.734191,2.7873523,0.15657732,22.092146,7.4159374,18.686726,6.945349
19,0.08173514,0.051892396,2.8278065,1.1481928,0.6997709,2.9023714,0.14216691,22.493298,7.5463343,18.695295,7.0044565
20,0.081628434,0.05145022,2.7968798,1.089775,0.6681252,3.02629,0.1300066,22.831768,7.6833887,18.703072,7.065776
21,0.081477925,0.051023655,2.7695172,1.037772,0.639252,3.1558013,0.119617075,23.116556,7.8274536,18.709515,7.1295824
22,0.08131142,0.050610118,2.7459056,0.99357677,0.61319095,3.2882996,0.110628314,23.359722,7.978437,18.713335,7.1958838
23,0.081138946,0.050207447,2.725962,0.9577253,0.5898842,3.421669,0.10275926,23.574415,8.135677,18.71341,7.2644324
24,0.08096132,0.04981396,2.7094488,0.93012106,0.56922895,3.554184,0.09579912,23.77328,8.298107,18.709213,7.3348093
25,0.080778606,0.049428407,2.6945672,0.9096855,0.5515974,3.6843505,0.08958518,23.965424,8.464515,18.701084,7.40656
26,0.08059052,0.049049955,2.6826174,0.896338,0.53754747,3.8111262,0.084006496,24.161592,8.633709,18.689217,7.479194
