"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,0,0.0044808867,0.45305637,0.1989883,0.3990294,1.3848506,0.4979096,0,0,0,0
2,0,0.0044598063,0.45588353,0.19779712,0.3950269,1.3359027,0.49128735,0,0,0,0
3,0,0.0044369954,0.45881027,0.19689278,0.3895323,1.25534,0.480654,0,0,0,0
4,0,0.004412277,0.46209735,0.19707276,0.38489482,1.1400185,0.4657854,0,0,0,0
5,0,0.004384868,0.4655529,0.19887759,0.38318366,0.9910743,0.44546187,0,0,0,0
6,0,0.0043539014,0.46817246,0.20028482,0.38000253,0.8688141,0.41881734,0,0,0,0
7,0,0.004319125,0.46966687,0.20091167,0.3753632,0.7708337,0.38643152,0,0,0,0
8,0,0.004280779,0.4699745,0.2005235,0.36927122,0.69311744,0.3500529,0,0,0,0
9,0,0.004239459,0.469162,0.19899002,0.36171672,0.63121766,0.31190917,0,0,0,0
10,0,0.004196022,0.46733162,0.19624002,0.3527135,0.58127636,0.2742414,0,0,0,0
11,0,0.0041514793,0.46456245,0.19213738,0.34202322,0.54354674,0.23894256,0,0,0,0
12,0,0.0041068573,0.46094418,0.18655056,0.32936922,0.5187817,0.2072953,0,0,0,0
13,0,0.004063039,0.4791832,0.18829048,0.31463662,0.5058695,0.17988253,0,0,0,0
14,0,0.004020645,0.47383362,0.17919627,0.299252,0.50307554,0.15674737,0,0,0,0
15,0,0.003980012,0.4681641,0.16888015,0.28445187,0.50848126,0.13753226,0,0,0,0
16,0,0.003941124,0.4623039,0.15893975,0.27037457,0.520323,0.12169574,0,0,0,0
17,0,0.003903953,0.45642868,0.14981839,0.25711417,0.53707576,0.10865294,0,0,0,0
18,0,0.0038684278,0.45073044,0.14150101,0.24473032,0.5574705,0.09786083,0,0,0,0
19,0,0.0038344134,0.44537947,0.13395582,0.23325697,0.5804743,0.08885432,0,0,0,0
20,0,0.0038017402,0.4405085,0.12714042,0.22270839,0.605258,0.081254125,0,0,0,0
21,0,0.0037702208,0.43619892,0.12107341,0.21308398,0.63116026,0.074760675,0,0,0,0
22,0,0.0037396639,0.4324801,0.11591729,0.20439698,0.65765995,0.0691427,0,0,0,0
23,0,0.00370991,0.42933896,0.111734614,0.19662806,0.6843338,0.064224534,0,0,0,0
24,0,0.0036808343,0.42673814,0.10851412,0.18974297,0.7108368,0.05987445,0,0,0,0
25,0,0.0036523454,0.44581613,0.11148702,0.1838658,0.7368701,0.055990737,0,0,0,0
26,0,0.0036243808,0.44383904,0.10985121,0.17918248,0.7622253,0.05250406,0,0,0,0
27,0,0.00359691,0.44229573,0.10898488,0.17577927,0.78672147,0.049360134,0,0,0,0
28,0,0.0035699226,0.44114175,0.10878914,0.1736602,0.8102193,0.046517756,0,0,0,0
29,0,0.0035434244,0.44034025,0.109171376,0.17276956,0.83261836,0.043944746,0,0,0,0
30,0,0.00351743,0.43986166,0.11004792,0.17301318,0.8538557,0.04161496,0,0,0,0
31,0,0.0034919586,0.43968245,0.111344725,0.17427622,0.8739045,0.03950627,0,0,0,0
32,0,0.0034670297,0.43978375,0.11299683,0.17643584,0.89277184,0.037599176,0,0,0,0
33,0,0.0034426593,0.44014972,0.11494747,0.17936984,0.9104959,0.035876002,0,0,0,0
34,0,0.0034188596,0.44076642,0.11714685,0.18296178,0.92714214,0.034320414,0,0,0,0
