"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,8.872392,14.580229,3.1776578,3.04786,3.9495506,7.2728024,11.62961,10.42909,100.380585,0,0
2,8.563594,13.868268,2.963641,2.9341674,3.4725301,5.437468,11.021332,9.138793,88.289444,0,0
3,8.761678,13.381181,2.870407,2.9916692,3.3576412,4.330521,10.589097,8.779225,95.18075,0,0
4,9.490945,12.95843,2.8573,3.2407758,3.673452,3.9948332,10.212957,9.454111,113.950424,0,0
5,10.22958,12.486488,2.8230686,3.531676,4.2090473,4.414078,9.808938,10.896703,133.65617,0,0
6,9.14517,12.047545,2.6275163,3.2065282,3.8684695,5.3040295,9.454443,12.499712,145.8442,0,0
7,8.427882,11.87217,2.4251254,2.9140673,3.6535122,6.479888,9.307373,13.6963415,149.6469,0,0
8,7.9981494,12.014209,2.2518249,2.671963,3.5180447,7.7242913,9.424491,14.246273,148.4153,0,0
9,7.788469,12.389555,2.1256025,2.492674,3.4329038,8.87987,9.739471,14.230828,145.50381,0,0
10,7.740947,12.874356,2.0487244,2.378563,3.3852348,9.894616,10.150641,13.879202,142.88423,0,0
11,7.7147846,13.372589,2.0112548,2.2927635,3.3138888,10.73114,10.580845,13.405624,141.26695,0,0
12,7.709169,13.831704,2.0086076,2.234056,3.2279687,11.353048,10.98506,12.943476,140.60837,0,0
13,7.7828536,14.218173,2.0483496,2.225158,3.1789012,11.757948,11.336802,12.552124,140.57138,0,0
14,7.7435517,14.511308,2.1057484,2.271636,3.1439037,11.963289,11.622007,12.243838,140.81389,0,0
15,7.6003346,14.706908,2.1812332,2.3711345,3.121062,12.000855,11.83414,12.012092,141.1085,0,0
16,7.360734,14.785784,2.2450418,2.4704943,3.1358614,11.908929,11.974453,11.84538,141.35646,0,0
17,7.1306915,14.8299055,2.312226,2.5833206,3.1864464,11.726751,12.050952,11.733174,141.54227,0,0
18,6.9402857,14.849178,2.3851058,2.7147944,3.2702305,11.490255,12.075935,11.666744,141.68881,0,0
19,6.7789035,14.840429,2.4585092,2.8600883,3.3846688,11.229003,12.063277,11.6382675,141.8206,0,0
