"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,0.99997747,0.9997852,0.90292096,1.0000036,1,1,0.9997774,0.99997276,1,1,1
2,1.0085161,1.0094912,0.8383886,1.0063915,1.0514239,1.1210078,1.0095283,1.06862,1,1,1
3,0.9985174,1.0232501,0.7874513,0.9922615,1.1274018,1.4496968,1.0239432,1.1985174,1,1,1
4,0.9474449,1.0429925,0.74117297,0.9346591,1.156853,2,1.0452485,1.3460177,1,1,1
5,0.86728656,1.0779588,0.7041167,0.84466636,1.1051344,2,1.083078,1.441874,1,1,1
6,0.8423182,1.1368891,0.69700587,0.8069318,1.1164403,2,1.1466445,1.4461278,1,1,1
7,0.85441774,1.2177588,0.7224788,0.8145104,1.1722826,2,1.235357,1.3745353,1,1,1
8,0.8905375,1.3087479,0.78070384,0.8633537,1.2605602,2,1.3374294,1.268502,1,1,1
9,0.9396632,1.3946244,0.8692349,0.9500059,1.3734192,2,1.4365613,1.1628048,1,1,1
10,0.9921526,1.4634676,0.9831192,1.0701098,1.5054039,1.927583,1.5191418,1.0755427,1,1,1
11,1.0472708,1.509334,1.116696,1.2285004,1.6709149,1.7696006,1.5773593,1.0118371,1,1,1
12,1.1038806,1.5314087,1.2616186,1.4316552,1.8888875,1.5748292,1.6090244,0.9700564,1,1,1
13,1.154826,1.5325881,1.4020696,1.6743793,2,1.3789955,1.6161866,0.9461448,1,1,1
14,1.207821,1.5182387,1.5264113,1.9372077,2,1.2025188,1.603565,0.93578184,1,1,1
15,1.2713087,1.4940711,1.6225756,2,2,1.0541248,1.5768363,0.9352688,1,1,1
16,1.3560703,1.4669943,1.6931413,2,2,0.9352383,1.541552,0.94163144,1,1,1
17,1.4652165,1.4388598,1.735509,2,2,0.84352255,1.5023963,0.9525102,1,1,1
18,1.5992972,1.4108337,1.7474767,2,2,0.7751419,1.4629104,0.9659919,1,1,1
19,1.7602991,1.38423,1.7307332,2,2,0.72600746,1.4255013,0.9805,1,1,1
20,1.9513049,1.3600618,1.6899146,1.9852556,2,0.6923682,1.3916043,0.99475217,1,1,1
21,2,1.3390113,1.6317163,1.9193722,2,0.6710261,1.3618917,1.007763,1,1,1
22,2,1.3214912,1.563845,1.8149431,2,0.6593596,1.3364743,1.0188602,1,1,1
23,2,1.3073039,1.4923302,1.6861507,2,0.6552663,1.3150728,1.027687,1,1,1
24,2,1.2959547,1.4214262,1.5461781,1.9687825,0.6570732,1.2971641,1.0341738,1,1,1
25,2,1.286821,1.351522,1.40567,1.88817,0.6634461,1.2820988,1.0384847,1,1,1
26,2,1.2793528,1.2865618,1.2720288,1.7713163,0.6733027,1.2692385,1.0409153,1,1,1
27,2,1.2728782,1.2271276,1.1500065,1.6326078,0.68576217,1.2579082,1.0418894,1,1,1
28,2,1.2668331,1.1731917,1.0419792,1.4852744,0.70009327,1.2475283,1.041854,1,1,1
29,2,1.2607737,1.1243737,0.9486027,1.339915,0.7156768,1.2376375,1.0412263,1,1,1
30,2,1.2543821,1.08013,0.8694154,1.2039672,0.731979,1.2279005,1.0403594,1,1,1
31,2,1.2474614,1.0398828,0.8033162,1.0818789,0.7485341,1.2181022,1.0395247,1,1,1
32,2,1.2399212,1.0030993,0.74890506,0.9756702,0.7649343,1.2081326,1.0389097,1,1,1
33,2,1.2317598,0.9693311,0.7047064,0.8856142,0.7808263,1.1979657,1.0386243,1,1,1
34,2,1.2230401,0.9382257,0.6693014,0.81087226,0.79591095,1.1876363,1.0387136,1,1,1
35,2,1.2138674,0.90952057,0.6413983,0.74999803,0.8099457,1.1772178,1.039172,1,1,1
36,2,1.2043698,0.8830271,0.6198615,0.7012948,0.822747,1.1668038,1.0399593,1,1,1
37,2,1.1946799,0.8550203,0.60371387,0.66304696,0.83419186,1.1564915,1.041014,1,1,1
38,2,1.1851254,0.82975876,0.5920845,0.63365734,0.8441812,1.1464747,1.0421864,1,1,1
39,2,1.1756876,0.80702674,0.58428705,0.6116944,0.8527056,1.1367643,1.0434332,1,1,1
40,2,1.1663909,0.7866218,0.579745,0.5959259,0.85982066,1.1273826,1.0447181,1,1,1
41,2,1.157271,0.76835036,0.57797235,0.58531046,0.8656373,1.1183503,1.0460131,1,1,1
42,2,1.1483629,0.75202656,0.57855654,0.57897633,0.87030655,1.1096815,1.0472959,1,1,1
43,2,1.139695,0.73747265,0.58114356,0.576197,0.87400514,1.1013838,1.0485501,1,1,1
44,2,1.1312888,0.7245202,0.58542603,0.5763671,0.87692183,1.0934584,1.0497634,1,1,1
45,2,1.1231593,0.7130113,0.5911336,0.57898,0.87924695,1.0859014,1.0509286,1,1,1
46,2,1.1153153,0.7027994,0.59802514,0.5836098,0.881163,1.078705,1.052042,1,1,1
47,2,1.1077622,0.69374996,0.6058834,0.5898951,0.882838,1.0718589,1.0531031,1,1,1
48,2,1.100501,0.6857412,0.61451083,0.5975262,0.8844198,1.0653511,1.0541135,1,1,1
49,2,1.0935305,0.68368953,0.62372845,0.60623693,0.88603264,1.0591689,1.0550761,1,1,1
50,2,1.0866627,0.68089527,0.6331666,0.6157805,0.88784975,1.0531322,1.0561367,1,1,1
51,2,1.0800347,0.67764646,0.64272004,0.6259582,0.8899431,1.0473381,1.0572406,1,1,1
