"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,FIB

timestep,value
1,-0.007688133
2,-0.03405977
3,-0.0792309
4,-0.14718068
5,-0.24107851
6,-0.32590428
7,-0.4018505
8,-0.46983603
9,-0.5312112
10,-0.58708084
11,-0.6352493
12,-0.6735017
13,-0.6842507
14,-0.7021943
15,-0.71069336
16,-0.70962685
17,-0.7019267
18,-0.68947065
19,-0.6733936
20,-0.6546554
21,-0.6340165
22,-0.61206615
23,-0.5894823
24,-0.56679904
25,-0.5341073
26,-0.5129842
27,-0.4925686
28,-0.4730173
29,-0.4544308
30,-0.43686223
31,-0.4203248
32,-0.40479845
33,-0.39023626
34,-0.37657
35,-0.36371586
36,-0.35158023
37,-0.33291867
38,-0.3221464
39,-0.31176633
40,-0.3016954
41,-0.29186258
42,-0.2822105
43,-0.27269596
44,-0.26329044
45,-0.25397852
46,-0.2447574
47,-0.23563448
48,-0.22662544
49,-0.2106911
50,-0.20209919
51,-0.19371127
52,-0.18555349
53,-0.17764877
54,-0.17001714
55,-0.16267495
56,-0.15563503
57,-0.14890644
58,-0.14249456
59,-0.13640127
60,-0.13062502
61,-0.11790526
62,-0.11286382
63,-0.10806764
64,-0.10350694
65,-0.09917468
66,-0.09506494
67,-0.091172285
68,-0.08749093
69,-0.08401427
70,-0.08073459
71,-0.07764365
72,-0.0747331
73,-0.06343064
74,-0.060943265
75,-0.058585577
76,-0.05634936
77,-0.054229
78,-0.052220095
79,-0.050319266
80,-0.048523534
81,-0.046830025
82,-0.045235515
83,-0.043736603
84,-0.042329296
85,-0.030991673
86,-0.029862227
87,-0.028788997
88,-0.027767563
89,-0.026795406
90,-0.025871204
91,-0.024994282
92,-0.024164261
93,-0.023380412
94,-0.02264163
95,-0.02194626
96,-0.021292163
97,-0.009207278
98,-0.00879164
99,-0.0084036365
100,-0.008038205
101,-0.0076906676
102,-0.0073566865
103,-0.007032442
104,-0.006714313
