"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Landings

timestep,fleet,group,value
1,1,1,0
1,1,2,0.0044808867
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,2,1,0
1,2,2,0
1,2,3,0.45305637
1,2,4,0.1989883
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0.3990294
1,3,6,1.1870148
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0.19783579
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0.4979096
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
2,1,1,0
2,1,2,0.0044598063
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,1,0
2,2,2,0
2,2,3,0.45588353
2,2,4,0.19779712
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,2,11,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0.3950269
2,3,6,1.1450595
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,3,11,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0.19084322
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,4,11,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0.49128735
2,5,8,0
2,5,9,0
2,5,10,0
2,5,11,0
3,1,1,0
3,1,2,0.0044369954
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,1,11,0
3,2,1,0
3,2,2,0
3,2,3,0.45881027
3,2,4,0.19689278
3,2,5,0
3,2,6,0
3,2,7,0
3,2,8,0
3,2,9,0
3,2,10,0
3,2,11,0
3,3,1,0
3,3,2,0
3,3,3,0
3,3,4,0
3,3,5,0.3895323
3,3,6,1.0760057
3,3,7,0
3,3,8,0
