"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,0.029950477,0.20476972,0.30791494,0.64340824,0.7250989,1.2438749,3.0393252,3.121024,44.897747,60.54642,0
2,0.02995319,0.20483574,0.29323268,0.63972974,0.73068273,1.2732962,3.0649343,3.2177098,47.900864,69.28626,0
3,0.030205881,0.20618853,0.2833685,0.63897395,0.7536985,1.4356129,3.1134458,3.524515,46.178223,68.78146,0
4,0.029894043,0.20808189,0.27540308,0.6261594,0.78151494,1.846626,3.1775415,4.004447,41.495293,63.80948,0
5,0.028349541,0.21079887,0.26823473,0.5912135,0.7862119,2.5523083,3.2716024,4.4783783,36.567055,59.45953,0
6,0.025960077,0.21555758,0.26311287,0.5476908,0.7680824,2.5263758,3.422733,4.6874604,33.49052,57.60443,0
7,0.025220519,0.22348179,0.26306376,0.53235614,0.7750459,2.4954305,3.6518357,4.5375113,32.480465,57.78537,0
8,0.025589446,0.23429051,0.26838964,0.54181427,0.800025,2.4653769,3.9542787,4.1589065,32.709198,59.016632,0
9,0.026676767,0.24641836,0.2789836,0.5740354,0.83841866,2.4403737,4.2958045,3.727633,33.35309,60.53736,0
10,0.028152801,0.25784633,0.29430804,0.6271926,0.88715994,2.4212098,4.6261253,3.3472652,33.933422,61.92441,0
11,0.029730052,0.26698884,0.313438,0.69928074,0.94484925,2.3153577,4.8988767,3.0521722,34.282356,63.030216,0
12,0.031386465,0.27305257,0.33535606,0.7929533,1.0177428,2.109467,5.084593,2.8418722,34.41464,63.884163,0
13,0.03308679,0.27593166,0.36641905,0.91982365,1.1135943,1.869328,5.1756315,2.7046537,34.413315,64.59188,0
14,0.034618977,0.27602094,0.3885763,1.0605948,1.1639019,1.6357206,5.176646,2.6226716,34.359634,65.25447,0
15,0.03621499,0.27404487,0.40783036,1.2120951,1.1659523,1.4326038,5.108608,2.5836256,34.305187,65.94122,0
16,0.03812908,0.2707791,0.4225146,1.2494831,1.1674834,1.2670227,4.994371,2.5760705,34.269733,66.68188,0
17,0.04068442,0.2671326,0.43312094,1.2493047,1.1687224,1.1379024,4.855567,2.5909278,34.25319,67.48465,0
18,0.04397505,0.26335192,0.43926123,1.2471901,1.1696544,1.0405333,4.7090626,2.620548,34.24694,68.34638,0
19,0.048019044,0.25959438,0.44061336,1.2433234,1.1701992,0.9693433,4.566579,2.6585295,34.242943,69.26113,0
20,0.052878007,0.2560348,0.43746668,1.2379458,1.1703095,0.91911733,4.4353056,2.6995623,34.237133,70.22433,0
21,0.058647286,0.252807,0.43057367,1.2230973,1.169962,0.8854112,4.318881,2.7393618,34.229275,71.23274,0
22,0.060122866,0.2500005,0.4207794,1.1786361,1.1674241,0.86448264,4.218399,2.774718,34.221294,72.283,0
23,0.06012754,0.24766707,0.4095023,1.1132064,1.1640354,0.85358536,4.1332703,2.803604,34.215622,73.37125,0
24,0.060131643,0.2457783,0.39775613,1.0356685,1.1603836,0.8505146,4.061833,2.8250816,34.213867,74.49219,0
25,0.060135715,0.24426718,0.39440078,0.96226764,1.1430324,0.85382456,4.002846,2.8404136,34.21651,75.64097,0
26,0.06014004,0.24305005,0.38303882,0.88114744,1.1044946,0.8614849,3.9519067,2.8478167,34.223316,76.80794,0
27,0.060144152,0.24205284,0.37250438,0.80523354,1.0509546,0.8726972,3.9077356,2.8497834,34.234425,77.9869,0
28,0.06014779,0.24118604,0.36287197,0.7367813,0.9889707,0.8865489,3.8681319,2.8478222,34.249035,79.17153,0
29,0.06015078,0.24037474,0.35412455,0.6767484,0.92437077,0.9022812,3.831286,2.843433,34.266216,80.356224,0
30,0.060153026,0.23956016,0.34619334,0.625211,0.8616413,0.9192482,3.795823,2.8379467,34.28509,81.536514,0
31,0.060154546,0.23870033,0.3389874,0.58170813,0.80377626,0.9368887,3.7607946,2.832431,34.30496,82.70891,0
32,0.060155373,0.23776948,0.33241308,0.5454965,0.75243634,0.9547093,3.725641,2.8276577,34.325348,83.87094,0
33,0.060155574,0.23675595,0.32638577,0.5157221,0.7082519,0.9722788,3.690124,2.8241124,34.345898,85.02073,0
34,0.06015523,0.23565987,0.32083565,0.49152654,0.6711496,0.98922133,3.6542537,2.8220353,34.36637,86.15698,0
35,0.060154445,0.23448989,0.31570864,0.47210652,0.6406337,1.0052199,3.618205,2.8214684,34.38665,87.278625,0
36,0.060153298,0.23326026,0.31096533,0.45674318,0.6159975,1.0200231,3.5822508,2.82231,34.40667,88.384705,0
37,0.06015187,0.21306564,0.31493014,0.4524644,0.596466,1.0345713,3.548751,2.827506,34.425816,89.47989,0
38,0.060150307,0.21177392,0.31032175,0.44330886,0.581281,1.0464256,3.5139248,2.830225,34.44387,90.55509,0
39,0.060148552,0.2105005,0.30615756,0.4366147,0.56975335,1.0566871,3.4803245,2.8334715,34.462597,91.61202,0
40,0.06014664,0.20924297,0.30240285,0.43200245,0.56127506,1.0653653,3.4479883,2.837094,34.48198,92.649414,0
41,0.06014461,0.2080047,0.29902527,0.4291551,0.55532783,1.0725384,3.4169717,2.8409665,34.501736,93.66527,0
42,0.060142484,0.2067904,0.29599395,0.4278063,0.5514762,1.0783422,3.3873127,2.844991,34.52159,94.657814,0
43,0.06014027,0.20560466,0.29327902,0.42773044,0.54935765,1.0829531,3.3590307,2.849088,34.541378,95.62543,0
44,0.06013797,0.20445126,0.29085204,0.4287349,0.5486712,1.0865724,3.3321228,2.8531992,34.561012,96.5667,0
45,0.060135584,0.20333298,0.28868586,0.43065265,0.54916686,1.0894108,3.3065662,2.8572783,34.580452,97.48061,0
46,0.06013313,0.20225178,0.2867551,0.4333376,0.5506361,1.0916783,3.282327,2.8612964,34.599674,98.366196,0
47,0.0601306,0.2012088,0.28503612,0.43666017,0.5529042,1.0935736,3.2593594,2.8652365,34.618618,99.22277,0
48,0.060127996,0.20020473,0.2835072,0.4405042,0.5558235,1.0952783,3.2376137,2.8690886,34.637215,100.04976,0
49,0.060125314,0.18041904,0.29115945,0.4487663,0.5592665,1.0947299,3.2139544,2.8671925,34.65634,100.83743,0
50,0.06012244,0.17949499,0.29073703,0.45348895,0.5631266,1.096664,3.1944983,2.8715522,34.67591,101.60225,0
51,0.060119543,0.17858534,0.29020375,0.45828205,0.5673039,1.0988181,3.175674,2.8760712,34.69326,102.3376,0
52,0.06011662,0.1777079,0.2896057,0.46310586,0.5717177,1.1012714,3.1577165,2.8805947,34.708878,103.04418,0
53,0.06011368,0.17687115,0.28897882,0.4679239,0.57629657,1.1040572,3.1407359,2.8849795,34.72349,103.72321,0
54,0.060110718,0.1760785,0.2883504,0.47270548,0.5809791,1.1071693,3.1247694,2.8891206,34.737583,104.37556,0
55,0.060107756,0.17533047,0.28774112,0.47742558,0.5857145,1.1105847,3.1098065,2.8929555,34.751404,105.001595,0
56,0.06010479,0.17462584,0.2871656,0.48206478,0.5904622,1.1142671,3.0958095,2.8964643,34.765007,105.601395,0
57,0.06010186,0.17396228,0.28663385,0.4866079,0.59519064,1.118174,3.0827184,2.899664,34.778385,106.17502,0
58,0.060098935,0.17333691,0.28615186,0.49104375,0.599876,1.1222564,3.0704677,2.9025908,34.791466,106.72246,0
59,0.060096063,0.1727467,0.28572288,0.49536443,0.60450226,1.1264676,3.0589879,2.9052956,34.804188,107.24391,0
60,0.060093224,0.17218879,0.28534785,0.49956486,0.6090584,1.1307596,3.048213,2.907829,34.8165,107.73977,0
61,0.060090464,0.15292603,0.29399285,0.51460946,0.61354,1.1380779,3.041685,2.9175956,34.82564,108.24239,0
62,0.060087956,0.1524278,0.29280576,0.5183147,0.617941,1.1421183,3.0321736,2.9189746,34.83186,108.697464,0
63,0.06008548,0.15199627,0.29191464,0.521949,0.6222719,1.1460203,3.0237043,2.9198802,34.84204,109.12959,0
64,0.060083047,0.15160185,0.29125765,0.5255018,0.62653273,1.1497167,3.01591,2.920543,34.854454,109.537895,0
65,0.060080666,0.15122932,0.29078588,0.52896637,0.63073224,1.1532041,3.0085773,2.9212067,34.86737,109.920654,0
66,0.060078345,0.15087068,0.29046008,0.5323342,0.6348799,1.1565111,3.0015821,2.9220655,34.879696,110.27736,0
67,0.06007608,0.15052216,0.29024914,0.5355956,0.638982,1.1596743,2.9948645,2.9232323,34.890965,110.608894,0
68,0.06007387,0.15018283,0.29012915,0.53874105,0.6430393,1.1627238,2.9884095,2.9247386,34.90111,110.9168,0
69,0.060000096,0.1498534,0.2900812,0.5417616,0.64704186,1.1656711,2.9822323,2.926552,34.910263,111.202896,0
70,0.059644684,0.14953557,0.29008964,0.54464895,0.65096384,1.1685117,2.9763665,2.9285994,34.91864,111.46861,0
71,0.059046254,0.1492314,0.2901458,0.54740644,0.6547989,1.1712453,2.970849,2.9307907,34.92646,111.71499,0
72,0.05824381,0.14894286,0.29024404,0.5500417,0.65854114,1.1738678,2.9657147,2.9330363,34.933895,111.942986,0
73,0.05727552,0.13000748,0.30008984,0.5617711,0.66218567,1.1775998,2.9623256,2.9381378,34.939114,112.17525,0
74,0.05617775,0.12975535,0.29992604,0.5640648,0.6657259,1.17986,2.958024,2.939886,34.942524,112.375305,0
75,0.054996364,0.1295406,0.2998689,0.5662264,0.6691636,1.1819495,2.954312,2.9413111,34.948086,112.56119,0
76,0.053759046,0.12935072,0.29990005,0.5682744,0.6724935,1.1838473,2.9510496,2.9424694,34.954723,112.73265,0
77,0.052490693,0.12917884,0.30000457,0.57022566,0.6757167,1.1855699,2.9481452,2.9434588,34.961502,112.88889,0
