"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,4.1671524,3.366914,3.3963134,3.7250125,3.6395774,3,3.2319636,2.2319636,2,1,1
2,4.1901884,3.3782053,3.4075437,3.7326431,3.7172585,3,3.2391827,2.2391827,2,1,1
3,4.209359,3.3890226,3.418937,3.7442486,3.797331,3,3.245042,2.245042,2,1,1
4,4.212633,3.392237,3.4257798,3.7598617,3.858343,3,3.242406,2.242406,2,1,1
5,4.2003765,3.3877747,3.4257975,3.7750072,3.8854716,3,3.231252,2.231252,2,1,1
6,4.197739,3.376766,3.4031422,3.7524884,3.8598096,3,3.2168272,2.2168272,2,1,1
7,4.2056265,3.370859,3.3901012,3.7426648,3.8301446,3,3.2028682,2.2028682,2,1,1
8,4.222355,3.3706453,3.3859313,3.7441232,3.8035693,3,3.1911552,2.1911552,2,1,1
9,4.2452807,3.3753662,3.388846,3.7534332,3.7836242,3,3.1821258,2.1821258,2,1,1
10,4.27154,3.3833318,3.3967006,3.767182,3.770295,3,3.1756392,2.1756392,1.9999999,1,1
11,4.2995167,3.3918028,3.4050953,3.7788525,3.7567644,3,3.171428,2.171428,2,1,1
12,4.328853,3.3991385,3.412707,3.7874367,3.741154,3,3.1692107,2.1692107,2,1,1
13,4.358354,3.4043584,3.4204588,3.7951488,3.726491,3,3.168678,2.168678,2,1,1
14,4.3734694,3.4063778,3.4273617,3.8017776,3.7018511,3,3.1695144,2.1695144,2,1,1
15,4.3753567,3.4045024,3.4314792,3.805233,3.6683216,3,3.1713786,2.1713786,2,1,1
16,4.3602695,3.3938131,3.4166582,3.787934,3.6364565,3,3.173946,2.173946,2,1,1
17,4.3395557,3.3819044,3.398335,3.7647336,3.607566,3,3.1769233,2.1769233,2,1,1
18,4.318623,3.3712404,3.3824446,3.7422245,3.5824466,3,3.180064,2.180064,2,1,1
19,4.298256,3.3618243,3.3690605,3.7210681,3.5614214,3,3.1831737,2.1831737,2,1,1
20,4.2789435,3.3535652,3.3580418,3.701745,3.5444586,3,3.186109,2.186109,1.9999999,1,1
21,4.260233,3.346084,3.3484159,3.6837466,3.5312998,3,3.1887763,2.1887763,2,1,1
22,4.2403564,3.338773,3.3384576,3.6655614,3.521579,3,3.191127,2.191127,2,1,1
23,4.220652,3.33191,3.3289924,3.64858,3.5148613,3,3.1931522,2.1931522,2,1,1
24,4.202008,3.3256216,3.3205352,3.6337068,3.5106952,3,3.1948736,2.1948736,2,1,1
25,4.1831346,3.3198771,3.3133225,3.621312,3.5070677,3,3.1963248,2.1963248,2,1,1
26,4.163274,3.3146975,3.3073843,3.611446,3.503044,3,3.1975722,2.1975722,1.9999999,1,1
27,4.1432824,3.310105,3.3027308,3.6040952,3.499265,3,3.1986716,2.1986716,2,1,1
28,4.123848,3.3060737,3.2992496,3.5989573,3.4961898,3,3.1996775,2.1996775,2,1,1
29,4.1055202,3.302577,3.2968001,3.59567,3.4940612,3,3.2006361,2.2006361,2,1,1
30,4.0886927,3.2995913,3.2952344,3.5938604,3.4929361,3,3.2015831,2.2015831,2,1,1
31,4.0736136,3.297092,3.2944093,3.593181,3.4927397,3,3.2025423,2.2025423,2,1,1
32,4.0604005,3.2950516,3.294191,3.593328,3.4933197,3,3.2035275,2.2035275,2,1,1
33,4.049066,3.2934391,3.2944605,3.5940497,3.4944904,3,3.2045436,2.2045436,2,1,1
34,4.039542,3.2922225,3.295114,3.5951457,3.4960635,3,3.205589,2.205589,2,1,1
35,4.031712,3.2913656,3.2960618,3.5964642,3.4978716,3,3.2066574,2.2066574,2,1,1
36,4.025426,3.2908318,3.297231,3.5978951,3.4997737,3,3.2077396,2.2077396,2,1,1
37,4.0204844,3.2905345,3.298435,3.5993404,3.5016406,3,3.2088003,2.2088003,1.9999999,1,1
38,4.0166097,3.2904015,3.299857,3.6006167,3.5034103,3,3.20986,2.20986,1.9999999,1,1
39,4.0138464,3.290507,3.3013563,3.6018982,3.5050378,3,3.2109015,2.2109015,2,1,1
40,4.0120516,3.290822,3.302908,3.603166,3.506509,3,3.21192,2.21192,2,1,1
41,4.011097,3.291319,3.3044934,3.6044133,3.5078301,3,3.2129102,2.2129102,2,1,1
42,4.0108705,3.2919729,3.306102,3.6056468,3.5090234,3,3.2138689,2.2138689,2,1,1
43,4.0112724,3.2927623,3.307728,3.6068788,3.510121,3,3.214794,2.214794,2,1,1
44,4.0122175,3.2936666,3.309368,3.6081266,3.5111597,3,3.2156842,2.2156842,2,1,1
45,4.013628,3.2946682,3.311021,3.6094072,3.5121772,3,3.2165391,2.2165391,1.9999999,1,1
46,4.0154357,3.29575,3.3126855,3.6107368,3.513212,3,3.2173586,2.2173586,2,1,1
47,4.01758,3.296898,3.3143606,3.6121285,3.5142958,3,3.218143,2.218143,2,1,1
48,4.0200047,3.2980974,3.3160462,3.6135921,3.5154536,3,3.2188933,2.218893,2,1,1
49,4.0225906,3.2993,3.3179228,3.6150706,3.516751,3,3.2196546,2.2196546,2,1,1
50,4.0255837,3.3006835,3.3196151,3.616847,3.5181646,3,3.2203705,2.2203705,2,1,1
51,4.0286255,3.302032,3.3213007,3.6186237,3.519702,3,3.2210567,2.2210567,2,1,1
52,4.031702,3.3033483,3.3229768,3.6204214,3.5213537,3,3.2217102,2.2217102,2,1,1
53,4.034799,3.3046331,3.3246377,3.6222477,3.523103,3,3.222329,2.222329,2,1,1
54,4.037902,3.305888,3.326279,3.6241045,3.5249336,3,3.2229125,2.2229125,2,1,1
55,4.040996,3.3071127,3.3278935,3.6259842,3.5268266,3,3.2234612,2.2234612,2,1,1
56,4.044068,3.3083076,3.3294764,3.6278787,3.5287642,3,3.2239761,2.2239761,2,1,1
57,4.0471034,3.3094742,3.3310225,3.629776,3.530726,3,3.22446,2.22446,2,1,1
58,4.0500927,3.3106127,3.3325274,3.631663,3.5326953,3,3.2249146,2.2249146,2,1,1
59,4.0530276,3.311724,3.3339882,3.633528,3.534658,3,3.225343,2.225343,2,1,1
60,4.055901,3.3128083,3.335401,3.63536,3.5365965,3,3.225747,2.225747,2,1,1
61,4.0586815,3.3137927,3.3364966,3.6371384,3.538435,3,3.2260675,2.2260675,2,1,1
62,4.061152,3.3145616,3.3377645,3.6386135,3.5401897,3,3.226385,2.226385,2,1,1
63,4.063621,3.31535,3.3389747,3.6400936,3.5418699,3,3.2266836,2.2266836,2,1,1
64,4.066069,3.3161495,3.3401246,3.6415462,3.5434823,3,3.226967,2.226967,2,1,1
65,4.0684824,3.3169534,3.3412151,3.6429532,3.5450354,3,3.22724,2.22724,2,1,1
66,4.0708504,3.3177576,3.3422492,3.6443045,3.5465372,3,3.227506,2.227506,2,1,1
67,4.073167,3.318557,3.3432305,3.645598,3.5479941,3,3.2277658,2.2277658,2,1,1
68,4.075426,3.3193488,3.344161,3.6468341,3.5494053,3,3.2280195,2.2280195,2,1,1
69,4.077626,3.3201287,3.3450441,3.648017,3.5507734,3,3.228265,2.228265,2,1,1
70,4.079771,3.3208938,3.3458807,3.6491497,3.5520968,3,3.2285,2.2285,2,1,1
71,4.081858,3.3216429,3.346673,3.6502368,3.553374,3,3.2287219,2.2287219,2,1,1
72,4.08389,3.3223732,3.3474226,3.6512823,3.554604,3,3.2289288,2.2289288,2,1,1
73,4.0858216,3.323015,3.348019,3.6522548,3.555756,3,3.229094,2.229094,2,1,1
74,4.087612,3.3235638,3.3486521,3.6530983,3.5568328,3,3.2292495,2.2292495,2,1,1
75,4.08936,3.3241045,3.3492413,3.6539218,3.5578504,3,3.229388,2.2293882,2,1,1
76,4.091063,3.324636,3.3497887,3.6547186,3.5588136,3,3.2295115,2.2295115,2,1,1
77,4.0927176,3.325158,3.3502982,3.655486,3.5597298,3,3.2296228,2.2296228,2,1,1
78,4.094322,3.3256705,3.3507738,3.6562245,3.5606053,3,3.2297237,2.2297237,2,1,1
79,4.095874,3.3261733,3.351219,3.656935,3.561445,3,3.2298162,2.2298162,1.9999999,1,1
80,4.0973697,3.3266666,3.3516364,3.65762,3.5622509,3,3.229902,2.229902,2,1,1
81,4.0988083,3.327149,3.352028,3.6582806,3.5630252,3,3.2299805,2.2299805,2,1,1
82,4.100188,3.32762,3.352395,3.6589186,3.5637662,3,3.2300522,2.2300522,2,1,1
83,4.1015077,3.3280792,3.3527398,3.6595356,3.564473,3,3.2301166,2.2301166,2,1,1
84,4.102767,3.3285255,3.3530622,3.6601324,3.5651436,3,3.2301738,2.2301738,2,1,1
85,4.103918,3.3288867,3.353269,3.6606681,3.5657504,3,3.2302027,2.2302027,2,1,1
86,4.1049414,3.3291733,3.3535092,3.6611054,3.5662935,3,3.2302306,2.2302306,2,1,1
87,4.1059117,3.3294537,3.3537233,3.661528,3.566791,3,3.2302523,2.2302523,2,1,1
88,4.1068306,3.3297262,3.3539112,3.661932,3.567248,3,3.2302685,2.2302685,2,1,1
89,4.107699,3.3299932,3.3540761,3.6623144,3.5676706,3,3.230282,2.230282,2,1,1
90,4.1085176,3.3302543,3.3542213,3.662675,3.5680652,3,3.2302935,2.2302935,2,1,1
91,4.1092873,3.3305101,3.3543503,3.6630173,3.5684364,3,3.2303052,2.2303052,2,1,1
92,4.11001,3.3307605,3.3544645,3.6633425,3.5687864,3,3.2303162,2.2303162,2,1,1
93,4.1106853,3.331005,3.3545668,3.6636531,3.5691154,3,3.2303267,2.2303267,2,1,1
94,4.1113153,3.3312433,3.3546584,3.6639516,3.5694222,3,3.2303362,2.2303362,2,1,1
95,4.1119013,3.3314748,3.3547392,3.6642387,3.5697064,3,3.2303436,2.2303436,2,1,1
96,4.1124444,3.3316994,3.3548112,3.6645164,3.5699651,3,3.2303486,2.2303486,2,1,1
97,4.1128883,3.3318481,3.3548682,3.6647267,3.570203,3,3.2303584,2.2303584,2,1,1
98,4.113324,3.3320212,3.3548956,3.664966,3.5704045,3,3.2303627,2.2303627,2,1,1
99,4.1136966,3.3321683,3.3549063,3.665169,3.570577,3,3.2303653,2.2303653,2,1,1
100,4.1140165,3.3322926,3.3549023,3.6653423,3.570718,3,3.2303653,2.2303653,2,1,1
101,4.1142907,3.332401,3.3548872,3.6654909,3.5708299,3,3.2303624,2.2303624,1.9999999,1,1
102,4.1145287,3.3324962,3.354864,3.6656194,3.5709133,3,3.2303576,2.2303576,1.9999999,1,1
103,4.1147346,3.3325818,3.354835,3.665732,3.570971,3,3.2303507,2.2303507,2,1,1
104,4.1149135,3.3326602,3.354803,3.6658316,3.5710044,3,3.2303429,2.2303429,2,1,1
105,4.11507,3.3327334,3.3547697,3.6659207,3.571016,3,3.2303345,2.2303345,2,1,1
106,4.1152053,3.332803,3.3547356,3.6660013,3.571007,3,3.2303262,2.2303262,2,1,1
107,4.1153226,3.3328702,3.3547027,3.666075,3.5709794,3,3.2303183,2.2303183,2,1,1
108,4.1154222,3.3329349,3.3546712,3.6661432,3.570933,3,3.2303112,2.2303112,2,1,1
109,4.1154494,3.3329148,3.3545544,3.6661549,3.570845,3,3.2302876,2.2302876,2,1,1
110,4.1154003,3.3328393,3.3544831,3.66609,3.5707142,3,3.2302704,2.2302704,2,1,1
111,4.115334,3.3327634,3.3544056,3.666022,3.57056,3,3.2302556,2.2302558,2,1,1
112,4.1152525,3.332688,3.3543224,3.6659467,3.5703862,3,3.230244,2.230244,2,1,1
113,4.115157,3.332614,3.354236,3.6658635,3.5701995,3,3.2302365,2.2302365,2,1,1
114,4.1150475,3.3325427,3.354149,3.6657743,3.570005,3,3.2302349,2.2302349,2,1,1
115,4.114923,3.332473,3.3540623,3.6656797,3.5698042,3,3.230239,2.230239,2,1,1
116,4.114784,3.332407,3.3539789,3.6655848,3.5695996,3,3.2302492,2.2302492,2,1,1
117,4.1146283,3.3323426,3.3538992,3.6654894,3.5693905,3,3.230265,2.230265,2,1,1
118,4.114458,3.3322806,3.353824,3.6653967,3.5691745,3,3.2302854,2.2302854,2,1,1
119,4.114271,3.3322196,3.3537529,3.6653063,3.5689492,3,3.2303095,2.2303095,2,1,1
120,4.114069,3.33216,3.3536873,3.6652203,3.5687134,3,3.230337,2.230337,2,1,1
121,4.113784,3.332025,3.3536415,3.66507,3.5684779,3,3.230382,2.230382,2,1,1
122,4.113541,3.3319497,3.3535597,3.6649988,3.568222,3,3.2304256,2.2304256,2,1,1
123,4.1132474,3.3318477,3.353471,3.6648922,3.5679505,3,3.2304728,2.2304728,2,1,1
124,4.112914,3.3317258,3.35338,3.6647613,3.5676606,3,3.2305233,2.2305233,2,1,1
125,4.1125507,3.3315907,3.3532894,3.664614,3.567353,3,3.2305758,2.2305758,2,1,1
126,4.1121655,3.331447,3.3532019,3.6644564,3.5670276,3,3.2306302,2.2306302,2,1,1
127,4.111765,3.3312993,3.35312,3.664294,3.5666862,3,3.2306871,2.2306871,2,1,1
128,4.1113544,3.3311505,3.3530457,3.6641302,3.5663328,3,3.2307472,2.2307472,2,1,1
129,4.110938,3.3310044,3.3529804,3.6639676,3.5659695,3,3.2308109,2.2308109,2,1,1
130,4.1105185,3.3308623,3.3529253,3.6638098,3.565599,3,3.230879,2.230879,2,1,1
131,4.110099,3.330726,3.3528817,3.6636586,3.5652251,3,3.2309518,2.230952,1.9999999,1,1
132,4.1096807,3.330596,3.3528504,3.6635156,3.5648491,3,3.2310305,2.2310305,2,1,1
133,4.1091957,3.3303945,3.3528252,3.6633165,3.5644789,3,3.2311223,2.2311223,2,1,1
134,4.108744,3.330235,3.352789,3.663171,3.5641,3,3.2312179,2.2312179,2,1,1
135,4.1082644,3.3300614,3.3527532,3.6630063,3.5637238,3,3.2313201,2.2313201,1.9999999,1,1
136,4.1077657,3.3298793,3.3527207,3.6628315,3.5633492,3,3.2314281,2.231428,2,1,1
137,4.1072545,3.3296943,3.3526952,3.6626534,3.5629785,3,3.231541,2.231541,2,1,1
138,4.106738,3.3295093,3.352679,3.6624787,3.562614,3,3.2316585,2.2316585,2,1,1
139,4.106221,3.3293283,3.3526723,3.6623106,3.562257,3,3.2317798,2.2317798,2,1,1
