"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,TLC

timestep,value
1,3.2369292
2,3.2545648
3,3.2759995
4,3.2982016
5,3.3200176
6,3.3241403
7,3.3279827
8,3.3333757
9,3.3409839
10,3.350433
11,3.3580546
12,3.3620055
13,3.3659027
14,3.3616111
15,3.3520713
16,3.3334196
17,3.3128304
18,3.2934206
19,3.275673
20,3.2597892
21,3.245527
22,3.2323258
23,3.220535
24,3.2102978
25,3.2044284
26,3.1967785
27,3.1904693
28,3.1854422
29,3.1815863
30,3.1787658
31,3.1768389
32,3.1756642
33,3.175111
34,3.175061
35,3.1754098
36,3.176067
37,3.1798017
38,3.1808214
39,3.1819553
40,3.183162
41,3.184408
42,3.18567
43,3.1869316
44,3.188183
45,3.1894186
46,3.1906374
47,3.1918404
48,3.1930292
49,3.1972737
50,3.1984153
51,3.1995518
52,3.2006886
53,3.2018266
54,3.2029674
55,3.2041092
56,3.2052517
57,3.2063928
58,3.2075286
59,3.2086585
60,3.2097783
61,3.2140095
62,3.215047
63,3.2160616
64,3.2170496
65,3.2180097
66,3.2189424
67,3.2198489
68,3.2207296
69,3.2215858
70,3.2224169
71,3.223224
72,3.224007
73,3.2280724
74,3.2287447
75,3.2293894
76,3.2300053
77,3.2305934
78,3.2311559
79,3.2316952
80,3.2322123
81,3.232709
82,3.2331858
83,3.2336435
84,3.2340832
85,3.2379007
86,3.2382336
87,3.2385454
88,3.2388353
89,3.239105
90,3.239357
91,3.239595
92,3.2398183
93,3.2400303
94,3.2402308
95,3.2404213
96,3.2406013
97,3.2442102
98,3.244305
99,3.244387
100,3.2444565
101,3.2445152
102,3.2445636
103,3.2446036
104,3.2446346
105,3.2446594
106,3.2446768
107,3.2446876
108,3.244692
109,3.248169
110,3.248079
111,3.2479787
112,3.2478678
113,3.2477481
114,3.2476213
115,3.2474878
116,3.2473507
117,3.24721
118,3.2470665
119,3.2469199
120,3.2467709
