"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,ValueFleetGroup

timestep,fleet,group,value
1,1,1,0
1,1,2,0.02688532
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,2,1,0
1,2,2,0
1,2,3,4.530564
1,2,4,0.7959532
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,1.5961176
1,3,6,2.3740296
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0.59350735
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,9.958192
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
2,1,1,0
2,1,2,0.026758838
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,1,0
2,2,2,0
2,2,3,4.5588355
2,2,4,0.7911885
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,2,11,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,1.5801076
2,3,6,2.290119
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,3,11,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0.5725297
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,4,11,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,9.825747
2,5,8,0
2,5,9,0
2,5,10,0
2,5,11,0
3,1,1,0
3,1,2,0.026621971
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,1,11,0
3,2,1,0
3,2,2,0
3,2,3,4.588103
3,2,4,0.78757113
3,2,5,0
3,2,6,0
3,2,7,0
3,2,8,0
3,2,9,0
3,2,10,0
3,2,11,0
3,3,1,0
3,3,2,0
3,3,3,0
3,3,4,0
3,3,5,1.5581292
3,3,6,2.1520114
3,3,7,0
3,3,8,0
3,3,9,0
3,3,10,0
3,3,11,0
3,4,1,0
3,4,2,0
3,4,3,0
3,4,4,0
3,4,5,0
3,4,6,0.5380028
3,4,7,0
3,4,8,0
3,4,9,0
3,4,10,0
