"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11
1,0,0.02688532,4.530564,0.7959532,1.5961176,2.967537,9.958192,0,0,0,0
2,0,0.026758838,4.5588355,0.7911885,1.5801076,2.8626485,9.825747,0,0,0,0
3,0,0.026621971,4.588103,0.78757113,1.5581292,2.6900141,9.61308,0,0,0,0
4,0,0.026473664,4.6209736,0.78829104,1.5395793,2.4428966,9.315708,0,0,0,0
5,0,0.026309207,4.655529,0.79551035,1.5327346,2.1237307,8.909237,0,0,0,0
6,0,0.026123408,4.6817245,0.8011393,1.5200101,1.8617445,8.376347,0,0,0,0
7,0,0.02591475,4.6966686,0.8036467,1.5014528,1.6517863,7.72863,0,0,0,0
8,0,0.025684673,4.6997447,0.802094,1.4770849,1.4852517,7.0010576,0,0,0,0
9,0,0.025436755,4.69162,0.79596007,1.4468669,1.3526092,6.2381835,0,0,0,0
10,0,0.025176134,4.673316,0.7849601,1.410854,1.2455922,5.484828,0,0,0,0
11,0,0.024908876,4.6456246,0.7685495,1.3680929,1.164743,4.7788515,0,0,0,0
12,0,0.024641145,4.6094418,0.74620223,1.3174769,1.1116751,4.145906,0,0,0,0
13,0,0.024378235,4.791832,0.7531619,1.2585465,1.0840061,3.5976505,0,0,0,0
14,0,0.02412387,4.738336,0.7167851,1.197008,1.078019,3.1349473,0,0,0,0
15,0,0.023880072,4.6816406,0.6755206,1.1378075,1.0896027,2.7506452,0,0,0,0
16,0,0.023646742,4.6230392,0.635759,1.0814983,1.1149778,2.433915,0,0,0,0
17,0,0.023423716,4.5642867,0.59927356,1.0284567,1.1508766,2.1730587,0,0,0,0
18,0,0.023210566,4.507304,0.56600404,0.9789213,1.1945796,1.9572165,0,0,0,0
19,0,0.02300648,4.4537945,0.5358233,0.93302786,1.2438735,1.7770864,0,0,0,0
20,0,0.02281044,4.405085,0.5085617,0.89083356,1.2969813,1.6250825,0,0,0,0
21,0,0.022621324,4.361989,0.48429364,0.85233593,1.3524864,1.4952135,0,0,0,0
22,0,0.022437982,4.324801,0.46366915,0.8175879,1.4092714,1.382854,0,0,0,0
23,0,0.022259459,4.29339,0.44693846,0.78651226,1.4664295,1.2844907,0,0,0,0
24,0,0.022085005,4.2673817,0.4340565,0.75897187,1.5232217,1.197489,0,0,0,0
25,0,0.021914072,4.4581614,0.4459481,0.7354632,1.5790074,1.1198148,0,0,0,0
26,0,0.021746285,4.4383903,0.43940485,0.71672994,1.6333399,1.0500811,0,0,0,0
27,0,0.02158146,4.4229574,0.43593952,0.7031171,1.6858317,0.98720264,0,0,0,0
28,0,0.021419536,4.4114175,0.43515655,0.6946408,1.7361841,0.93035513,0,0,0,0
29,0,0.021260547,4.4034023,0.4366855,0.69107825,1.7841822,0.8788949,0,0,0,0
30,0,0.02110458,4.398617,0.4401917,0.6920527,1.8296909,0.83229923,0,0,0,0
31,0,0.020951752,4.3968244,0.4453789,0.6971049,1.8726525,0.7901254,0,0,0,0
32,0,0.020802177,4.3978376,0.45198733,0.7057434,1.9130826,0.7519835,0,0,0,0
33,0,0.020655956,4.4014974,0.45978987,0.71747935,1.9510627,0.71752006,0,0,0,0
34,0,0.020513158,4.4076643,0.4685874,0.7318471,1.9867332,0.6864083,0,0,0,0
35,0,0.020373818,4.416208,0.4782045,0.74841505,2.0202827,0.6583439,0,0,0,0
36,0,0.020237938,4.426998,0.48848557,0.7667903,2.0519369,0.63304305,0,0,0,0
37,0,0.015102316,4.6594305,0.5238662,0.78661865,2.081772,0.61015195,0,0,0,0
38,0,0.015028376,4.6733522,0.53530735,0.80758625,2.1102517,0.58950335,0,0,0,0
39,0,0.014956586,4.689327,0.54704994,0.8294147,2.1376443,0.5708783,0,0,0,0
40,0,0.0148868915,4.70718,0.5589891,0.85185874,2.1642,0.55407935,0,0,0,0
41,0,0.014819229,4.7267528,0.5710318,0.8747036,2.1901405,0.5389291,0,0,0,0
42,0,0.014753532,4.7478952,0.58309555,0.8977632,2.2156506,0.525269,0,0,0,0
43,0,0.014689729,4.7704735,0.5951084,0.9208779,2.2408772,0.5129576,0,0,0,0
44,0,0.014627747,4.7943635,0.6070078,0.9439124,2.265924,0.5018691,0,0,0,0
45,0,0.014567515,4.819454,0.6187406,0.9667532,2.2908554,0.49189147,0,0,0,0
46,0,0.01450896,4.845644,0.63026214,0.9893067,2.3156946,0.4829252,0,0,0,0
47,0,0.01445201,4.872842,0.6415358,1.0114968,2.340431,0.4748816,0,0,0,0
48,0,0.014396598,4.9009647,0.65253246,1.0332627,2.3650239,0.46768165,0,0,0,0
49,0,0.009576512,5.170419,0.69623035,1.05456,2.389798,0.46136403,0,0,0,0
50,0,0.009556181,5.1952224,0.7069268,1.0753529,2.4142072,0.45578086,0,0,0,0
51,0,0.009536687,5.220816,0.71730065,1.0956172,2.4381523,0.45087063,0,0,0,0
